Nc1ccc(Oc2cccnc2)cc1CNC(=O)Nc1nc(-c2ccncc2)no1,DDR1-GENTRL-000001,True
COCc1ncccc1S(=O)(=O)N1CCCCC1CCn1cc(CNc2ccn[nH]2)nn1,DDR1-GENTRL-000002,True
CCS(=O)(=O)N1CCC(Cc2cc(OCCCN(Cc3cc(F)ccc3F)C3CCOCC3)ccn2)CC1,DDR1-GENTRL-000003,True
Cc1cnc(C(=O)N2CCC(Cc3nc(-c4ccccc4)no3)CC2)[nH]1,DDR1-GENTRL-000004,True
CN(C)CC1CC(CNS(C)(=O)=O)CN1C1=CC=C(C2CN(Cc3ccc4[nH]ncc4c3)CC2NS(=O)(=O)N(C)C)C1,DDR1-GENTRL-000006,True
CC(C)N1C(=O)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1Cc1ccc(C(F)(F)F)cc1,DDR1-GENTRL-000007,True
Cc1cccc(CSc2nccc3c2CCNC3=O)c1-c1ccoc1,DDR1-GENTRL-000008,True
CNC(=O)N1CCC(F)(c2ccc(Cl)cn2)CC1,DDR1-GENTRL-000009,True
Cc1noc(C)c1S(=O)(=O)NC(C)(CNc1ccn[nH]1)C1CCCC(C)(C(N)=O)CC1,DDR1-GENTRL-000010,True
CNC(=O)Nc1cccc(OCCNC(=O)c2cccc(NC(=O)NCCOC)c2)n1,DDR1-GENTRL-000011,True
COCCOCc1ccc(NC(=O)Nc2ccc(OC)c(OCc3ccc(F)cc3)n2)cc1,DDR1-GENTRL-000012,True
COc1cc(-c2cc(Oc3ccccc3OC)ncn2)ccc1NCCNS(C)(=O)=O,DDR1-GENTRL-000013,True
CCOCCn1nncc1CN1CCC(Cc2nncn2Cc2ccc(F)c(F)c2)c2ncccc2N1C,DDR1-GENTRL-000014,True
CC(=O)OC1(C(=O)Nc2cc(C(=O)Nc3ccc(C)c(C)c3)cc(C(F)(F)F)c2)CC1,DDR1-GENTRL-000015,True
COCC(=O)C(OCCOC1CCN(S(=O)(=O)C(C)C)C1)c1cnccn1,DDR1-GENTRL-000016,True
CC(C)NC(=O)NCCCC(=O)N1CCCC(c2cc(C(=O)N(C)C)no2)CCNC1=O,DDR1-GENTRL-000017,True
CS(=O)(=O)NC1CN(C(=O)c2ccncn2)CC1NS(=O)(=O)c1ccc2c(c1)CC(=O)N2,DDR1-GENTRL-000018,True
Cn1cnc(CNC(=O)Nc2cccc(C(=O)NC3CC3)c2)c1,DDR1-GENTRL-000019,True
COC(=O)c1ccc(CC2CC(OCCN(C)c3ccncn3)CCN2S(=O)(=O)N(C)C)cn1,DDR1-GENTRL-000020,True
O=C(Nc1cc(-c2ccnc3[nH]ccc23)ccc1O)C1CC12CCOc1ccc(F)cc12,DDR1-GENTRL-000021,True
Cc1ccc(Cl)c(N2CCC(NC(=O)NC(C)C)C2)c1,DDR1-GENTRL-000022,True
CCN1C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1Cc1ccc(Cl)cc1,DDR1-GENTRL-000023,True
COCCn1cnc(NC(=O)c2ccc(OC3CCCN(S(=O)(=O)c4ccc(OC)cc4)C3)cc2)c1,DDR1-GENTRL-000025,True
CC(C)NC(=O)C1=CC(NCC(=O)N2CCOCC2)COC(n2cccc2C#N)=CC=C1,DDR1-GENTRL-000026,True
